id;data;item;cod_atividade;qtd_folha;h_inicio;h_termino;n_atendimento;ativado;usuario
56366079877acxs2366;02/10/2025;1;1102;0;15:20;16:12;0;TRUE;h9jkytgqsze50dydvqyyn09n
12654624933acxs6001;03/10/2025;1;301;0;14:00;14:02;0;TRUE;h9jkytgqsze50dydvqyyn09n
76946415519acxs2941;03/10/2025;2;301;0;14:02;14:04;0;TRUE;h9jkytgqsze50dydvqyyn09n
76348225538acxs2724;03/10/2025;3;301;0;14:04;14:06;0;TRUE;h9jkytgqsze50dydvqyyn09n
5034592573acxs1186;03/10/2025;4;301;0;14:06;14:08;0;TRUE;h9jkytgqsze50dydvqyyn09n
45703765505acxs4900;03/10/2025;5;301;0;14:08;14:10;0;TRUE;h9jkytgqsze50dydvqyyn09n
11601857961acxs5578;03/10/2025;6;301;0;14:10;14:12;0;TRUE;h9jkytgqsze50dydvqyyn09n
33814174969acxs5070;03/10/2025;7;301;0;14:14;14:16;0;TRUE;h9jkytgqsze50dydvqyyn09n
79751319046acxs1583;03/10/2025;8;301;0;14:16;14:18;0;TRUE;h9jkytgqsze50dydvqyyn09n
64926248493acxs3779;03/10/2025;9;301;0;14:18;14:20;0;TRUE;h9jkytgqsze50dydvqyyn09n
99651786003acxs5098;03/10/2025;10;301;0;14:20;14:22;0;TRUE;h9jkytgqsze50dydvqyyn09n
37562608206acxs4636;03/10/2025;11;301;0;14:22;14:24;0;TRUE;h9jkytgqsze50dydvqyyn09n
67804544576acxs5684;03/10/2025;12;301;0;14:24;14:26;0;TRUE;h9jkytgqsze50dydvqyyn09n
88370578548acxs9534;03/10/2025;13;301;0;14:26;14:28;0;TRUE;h9jkytgqsze50dydvqyyn09n
76442466839acxs365;03/10/2025;14;301;0;14:28;14:30;0;TRUE;h9jkytgqsze50dydvqyyn09n
6562258949acxs5794;03/10/2025;15;301;0;14:30;14:32;0;TRUE;h9jkytgqsze50dydvqyyn09n
76619579308acxs7706;03/10/2025;16;301;0;14:32;14:34;0;TRUE;h9jkytgqsze50dydvqyyn09n
16091508300acxs2513;03/10/2025;17;301;0;14:34;14:36;0;TRUE;h9jkytgqsze50dydvqyyn09n
9122429271acxs2983;03/10/2025;18;301;0;14:36;14:38;0;TRUE;h9jkytgqsze50dydvqyyn09n
92341767966acxs2405;07/10/2025;1;105;0;13:00;13:37;0;TRUE;h9jkytgqsze50dydvqyyn09n
14425050429acxs4837;07/10/2025;2;1406;0;13:40;16:40;0;TRUE;h9jkytgqsze50dydvqyyn09n
54896207909acxs7211;09/10/2025;3;301;0;13:00;13:05;0;TRUE;h9jkytgqsze50dydvqyyn09n
52540798937acxs2506;09/10/2025;4;301;0;13:05;13:10;0;TRUE;h9jkytgqsze50dydvqyyn09n
81118084574acxs8163;09/10/2025;5;301;0;13:10;13:15;0;TRUE;h9jkytgqsze50dydvqyyn09n
78587262315acxs1756;09/10/2025;6;301;0;13:15;13:20;0;TRUE;h9jkytgqsze50dydvqyyn09n
8166822952acxs4837;09/10/2025;7;301;0;13:20;13:25;0;TRUE;h9jkytgqsze50dydvqyyn09n
47164705124acxs2015;09/10/2025;1;502;0;13:30;13:35;0;TRUE;h9jkytgqsze50dydvqyyn09n
74666098444acxs7305;09/10/2025;2;502;0;13:35;13:40;0;TRUE;h9jkytgqsze50dydvqyyn09n
9606065074acxs7948;09/10/2025;3;502;0;13:40;13:45;0;TRUE;h9jkytgqsze50dydvqyyn09n
85740980839acxs4072;09/10/2025;4;502;0;13:45;13:50;0;TRUE;h9jkytgqsze50dydvqyyn09n
21899279369acxs564;09/10/2025;1;601;3;14:20;14:25;0;TRUE;h9jkytgqsze50dydvqyyn09n
26877445808acxs4894;09/10/2025;2;601;3;14:25;14:30;0;TRUE;h9jkytgqsze50dydvqyyn09n
84847721816acxs9191;09/10/2025;3;601;3;14:30;14:35;0;TRUE;h9jkytgqsze50dydvqyyn09n
20816143842acxs4361;09/10/2025;1;603;3;16:00;16:10;0;TRUE;h9jkytgqsze50dydvqyyn09n
75140980305acxs569;09/10/2025;2;603;3;16:10;16:20;0;TRUE;h9jkytgqsze50dydvqyyn09n
51865728096acxs186;09/10/2025;3;603;3;16:20;16:30;0;TRUE;h9jkytgqsze50dydvqyyn09n
41110032033acxs6654;10/10/2025;1;504;0;13:00;13:02;0;TRUE;h9jkytgqsze50dydvqyyn09n
88590574092acxs4616;10/10/2025;2;504;0;13:02;13:04;0;TRUE;h9jkytgqsze50dydvqyyn09n
10250115361acxs2817;10/10/2025;3;504;0;13:04;13:06;0;TRUE;h9jkytgqsze50dydvqyyn09n
81973212868acxs1686;10/10/2025;4;504;0;13:06;13:08;0;TRUE;h9jkytgqsze50dydvqyyn09n
31458578068acxs8128;10/10/2025;5;504;0;13:08;13:10;0;TRUE;h9jkytgqsze50dydvqyyn09n
42896331118acxs253;10/10/2025;6;504;0;13:10;13:12;0;TRUE;h9jkytgqsze50dydvqyyn09n
41453779322acxs2557;10/10/2025;7;504;0;13:12;13:14;0;TRUE;h9jkytgqsze50dydvqyyn09n
78050696611acxs2462;10/10/2025;8;504;0;13:14;13:16;0;TRUE;h9jkytgqsze50dydvqyyn09n
77625069551acxs1367;10/10/2025;9;504;0;13:16;13:18;0;TRUE;h9jkytgqsze50dydvqyyn09n
68906230614acxs3535;10/10/2025;10;504;0;13:18;13:20;0;TRUE;h9jkytgqsze50dydvqyyn09n
65230168937acxs2078;10/10/2025;11;504;0;13:22;13:24;0;TRUE;h9jkytgqsze50dydvqyyn09n
28976449532acxs1075;10/10/2025;12;504;0;13:26;13:28;0;TRUE;h9jkytgqsze50dydvqyyn09n
78176307545acxs7201;10/10/2025;13;504;0;13:30;13:32;0;TRUE;h9jkytgqsze50dydvqyyn09n
95933595740acxs6388;10/10/2025;14;504;0;13:34;13:36;0;TRUE;h9jkytgqsze50dydvqyyn09n
40557575552acxs9084;10/10/2025;15;504;0;13:38;13:40;0;TRUE;h9jkytgqsze50dydvqyyn09n
86365555671acxs6590;10/10/2025;16;504;0;13:40;13:42;0;TRUE;h9jkytgqsze50dydvqyyn09n
31614797136acxs6687;10/10/2025;17;504;0;13:42;13:44;0;TRUE;h9jkytgqsze50dydvqyyn09n
80655653382acxs9951;10/10/2025;18;504;0;13:44;13:46;0;TRUE;h9jkytgqsze50dydvqyyn09n
22747876090acxs4614;10/10/2025;19;504;0;13:46;13:48;0;TRUE;h9jkytgqsze50dydvqyyn09n
44069531543acxs6724;10/10/2025;20;504;0;13:48;13:50;0;TRUE;h9jkytgqsze50dydvqyyn09n
81507248736acxs5614;10/10/2025;21;504;0;13:50;13:52;0;TRUE;h9jkytgqsze50dydvqyyn09n
67524128925acxs1351;10/10/2025;22;504;0;13:52;13:54;0;TRUE;h9jkytgqsze50dydvqyyn09n
98305062895acxs8708;10/10/2025;23;504;0;13:54;13:56;0;TRUE;h9jkytgqsze50dydvqyyn09n
49655132690acxs3709;10/10/2025;24;504;0;13:56;13:58;0;TRUE;h9jkytgqsze50dydvqyyn09n
2407419119acxs99;10/10/2025;25;504;0;13:58;14:00;0;TRUE;h9jkytgqsze50dydvqyyn09n
35212487104acxs6007;10/10/2025;26;504;0;14:00;14:02;0;TRUE;h9jkytgqsze50dydvqyyn09n
59956445168acxs4377;10/10/2025;27;504;0;14:02;14:04;0;TRUE;h9jkytgqsze50dydvqyyn09n
85333866241acxs5994;10/10/2025;28;504;0;14:04;14:06;0;TRUE;h9jkytgqsze50dydvqyyn09n
30697479616acxs3481;10/10/2025;29;504;0;14:06;14:08;0;TRUE;h9jkytgqsze50dydvqyyn09n
19843372899acxs1293;10/10/2025;30;504;0;14:08;14:10;0;TRUE;h9jkytgqsze50dydvqyyn09n
66476244319acxs5935;10/10/2025;31;504;0;14:10;14:12;0;TRUE;h9jkytgqsze50dydvqyyn09n
62920874047acxs2670;10/10/2025;32;504;0;14:12;14:14;0;TRUE;h9jkytgqsze50dydvqyyn09n
88612226972acxs9221;10/10/2025;33;504;0;14:14;14:16;0;TRUE;h9jkytgqsze50dydvqyyn09n
72102991086acxs7587;10/10/2025;34;504;0;14:16;14:18;0;TRUE;h9jkytgqsze50dydvqyyn09n
41243271037acxs1724;10/10/2025;35;504;0;14:18;14:20;0;TRUE;h9jkytgqsze50dydvqyyn09n
1525221612acxs9088;10/10/2025;36;504;0;14:20;14:22;0;TRUE;h9jkytgqsze50dydvqyyn09n
82868542416acxs9631;10/10/2025;37;504;0;14:22;14:24;0;TRUE;h9jkytgqsze50dydvqyyn09n
15991129815acxs969;10/10/2025;38;504;0;14:24;14:26;0;TRUE;h9jkytgqsze50dydvqyyn09n
69426846730acxs9919;10/10/2025;39;504;0;14:26;14:28;0;TRUE;h9jkytgqsze50dydvqyyn09n
1933520668acxs8007;10/10/2025;40;504;0;14:28;14:30;0;TRUE;h9jkytgqsze50dydvqyyn09n
5280435711acxs4509;10/10/2025;41;504;0;14:30;14:32;0;TRUE;h9jkytgqsze50dydvqyyn09n
2347354729acxs761;10/10/2025;42;504;0;14:32;14:34;0;TRUE;h9jkytgqsze50dydvqyyn09n
67236197222acxs3387;10/10/2025;43;504;0;14:34;14:36;0;TRUE;h9jkytgqsze50dydvqyyn09n
59395335787acxs8633;10/10/2025;44;504;0;14:36;14:38;0;TRUE;h9jkytgqsze50dydvqyyn09n
47715761165acxs5379;10/10/2025;45;504;0;14:38;14:40;0;TRUE;h9jkytgqsze50dydvqyyn09n
43516119779acxs4843;10/10/2025;46;504;0;14:40;14:42;0;TRUE;h9jkytgqsze50dydvqyyn09n
43696287946acxs3790;10/10/2025;47;504;0;14:42;14:44;0;TRUE;h9jkytgqsze50dydvqyyn09n
36427416023acxs1114;10/10/2025;48;504;0;14:44;14:46;0;TRUE;h9jkytgqsze50dydvqyyn09n
49973318670acxs6961;10/10/2025;49;504;0;14:46;14:48;0;TRUE;h9jkytgqsze50dydvqyyn09n
36097767109acxs8069;10/10/2025;50;504;0;14:48;14:50;0;TRUE;h9jkytgqsze50dydvqyyn09n
94135423075acxs9237;10/10/2025;51;504;0;14:50;14:52;0;TRUE;h9jkytgqsze50dydvqyyn09n
52700872613acxs4455;14/10/2025;1;301;0;13:00;13:04;0;TRUE;h9jkytgqsze50dydvqyyn09n
1750426080acxs1178;14/10/2025;1;1302;2;15:20;15:22;0;TRUE;h9jkytgqsze50dydvqyyn09n
7592531273acxs3581;14/10/2025;2;1302;2;15:22;15:44;0;TRUE;h9jkytgqsze50dydvqyyn09n
57784036535acxs3172;14/10/2025;3;1302;4;15:44;15:46;0;TRUE;h9jkytgqsze50dydvqyyn09n
92557055692acxs6814;14/10/2025;4;1302;2;15:46;15:48;0;TRUE;h9jkytgqsze50dydvqyyn09n
15844348441acxs6744;14/10/2025;5;1302;2;15:48;15:50;0;TRUE;h9jkytgqsze50dydvqyyn09n
15999153085acxs3267;14/10/2025;6;1302;4;15:50;15:52;0;TRUE;h9jkytgqsze50dydvqyyn09n
47357379380acxs1654;14/10/2025;7;1302;4;15:52;15:54;0;TRUE;h9jkytgqsze50dydvqyyn09n
2702794700acxs4019;16/10/2025;1;1302;6;13:05;13:10;0;TRUE;h9jkytgqsze50dydvqyyn09n
90326055723acxs1701;16/10/2025;2;1302;2;13:10;13:15;0;TRUE;h9jkytgqsze50dydvqyyn09n
70417114102acxs7896;16/10/2025;3;1302;2;13:15;13:20;0;TRUE;h9jkytgqsze50dydvqyyn09n
78678226364acxs2724;16/10/2025;4;1302;2;13:20;13:25;0;TRUE;h9jkytgqsze50dydvqyyn09n
99276687065acxs4803;16/10/2025;5;1302;2;13:25;13:30;0;TRUE;h9jkytgqsze50dydvqyyn09n
856465095acxs5144;16/10/2025;6;1302;2;13:30;13:35;0;TRUE;h9jkytgqsze50dydvqyyn09n
54099023425acxs4506;16/10/2025;7;1302;2;13:35;13:40;0;TRUE;h9jkytgqsze50dydvqyyn09n
14065033649acxs3258;16/10/2025;1;1301;6;15:08;15:12;0;TRUE;h9jkytgqsze50dydvqyyn09n
28963754122acxs7893;16/10/2025;2;1301;2;15:12;15:16;0;TRUE;h9jkytgqsze50dydvqyyn09n
24063369969acxs9931;16/10/2025;3;1301;2;15:16;15:19;0;TRUE;h9jkytgqsze50dydvqyyn09n
19531598088acxs2317;16/10/2025;4;1301;2;15:19;15:22;0;TRUE;h9jkytgqsze50dydvqyyn09n
46455810636acxs425;16/10/2025;6;1301;2;15:22;15:25;0;TRUE;h9jkytgqsze50dydvqyyn09n
51216589002acxs9046;16/10/2025;7;1301;2;15:25;15:27;0;TRUE;h9jkytgqsze50dydvqyyn09n
62578213432acxs4588;16/10/2025;8;1301;2;15:27;15:29;0;TRUE;h9jkytgqsze50dydvqyyn09n
89170281853acxs6479;17/10/2025;1;301;1;13:00;13:05;0;TRUE;h9jkytgqsze50dydvqyyn09n
48745981887acxs4533;17/10/2025;1;501;1;13:02;13:04;0;TRUE;h9jkytgqsze50dydvqyyn09n
